file_path,rating
actor1_call_10_sentence_9.wav,4.0
actor1_call_14_sentence_22.wav,7.0
actor1_call_9_sentence_6.wav,4.0
actor1_call_15_sentence_15.wav,8.5
actor1_call_14_sentence_1.wav,2.0
actor1_call_3_sentence_20.wav,8.333333333333334
actor1_call_5_sentence_11.wav,7.333333333333333
actor1_call_10_sentence_15.wav,4.75
actor1_call_11_sentence_17.wav,4.333333333333333
actor1_call_9_sentence_16.wav,8.0
actor1_call_4_sentence_16.wav,5.75
actor1_call_15_sentence_20.wav,5.75
actor1_call_10_sentence_18.wav,7.666666666666667
actor1_call_10_sentence_33.wav,6.0
actor1_call_10_sentence_16.wav,7.25
actor1_call_13_sentence_13.wav,7.75
actor1_call_14_sentence_23.wav,6.25
actor1_call_12_sentence_10.wav,7.25
actor1_call_3_sentence_18.wav,5.5
actor1_call_8_sentence_19.wav,8.5
actor1_call_14_sentence_25.wav,5.75
actor1_call_15_sentence_19.wav,7.5
actor1_call_15_sentence_18.wav,6.25
actor1_call_11_sentence_6.wav,5.25
actor1_call_1_sentence_3.wav,1.25
actor1_call_12_sentence_4.wav,6.333333333333333
actor1_call_14_sentence_3.wav,2.5
actor1_call_15_sentence_5.wav,4.75
actor1_call_1_sentence_2.wav,1.3333333333333333
actor1_call_7_sentence_7.wav,3.6666666666666665
actor1_call_14_sentence_2.wav,1.25
actor1_call_11_sentence_16.wav,9.333333333333334
actor1_call_10_sentence_34.wav,7.5
actor1_call_10_sentence_32.wav,7.5
actor1_call_6_sentence_2.wav,8.666666666666666
actor1_call_6_sentence_7.wav,8.0
actor1_call_11_sentence_18.wav,5.0
actor1_call_1_sentence_24.wav,4.75
actor1_call_10_sentence_36.wav,7.333333333333333
actor1_call_9_sentence_1.wav,1.75
actor1_call_4_sentence_11.wav,3.75
actor1_call_13_sentence_4.wav,3.5
actor1_call_12_sentence_1.wav,2.0
actor1_call_8_sentence_12.wav,7.0
actor1_call_12_sentence_2.wav,5.0
actor1_call_14_sentence_5.wav,4.0
actor1_call_9_sentence_30.wav,6.5
actor1_call_11_sentence_12.wav,6.0
actor1_call_1_sentence_18.wav,6.333333333333333
actor1_call_13_sentence_2.wav,1.0
actor1_call_7_sentence_17.wav,7.666666666666667
actor1_call_1_sentence_16.wav,8.5
actor1_call_14_sentence_20.wav,8.0
actor1_call_1_sentence_21.wav,6.333333333333333
